Month,Day,Imsaak,Dawn,Sunrise,Noon,Sunset,Maghrib
1,1,6.13,6.23,8.06,12.04,4.03,4.18
1,2,6.13,6.23,8.06,12.05,4.04,4.19
1,3,6.13,6.23,8.06,12.05,4.05,4.20
1,4,6.13,6.23,8.06,12.06,4.06,4.21
1,5,6.13,6.23,8.05,12.06,4.07,4.22
1,6,6.13,6.23,8.05,12.07,4.08,4.23
1,7,6.13,6.23,8.05,12.07,4.10,4.25
1,8,6.13,6.23,8.04,12.07,4.11,4.26
1,9,6.12,6.22,8.04,12.08,4.12,4.27
1,10,6.12,6.22,8.03,12.08,4.14,4.29
1,11,6.11,6.21,8.03,12.09,4.15,4.30
1,12,6.11,6.21,8.02,12.09,4.17,4.32
1,13,6.10,6.20,8.01,12.09,4.18,4.33
1,14,6.10,6.20,8.00,12.10,4.20,4.35
1,15,6.09,6.19,8.00,12.10,4.21,4.36
1,16,6.09,6.19,7.59,12.11,4.23,4.38
1,17,6.08,6.18,7.58,12.11,4.24,4.39
1,18,6.07,6.17,7.57,12.11,4.26,4.41
1,19,6.06,6.16,7.56,12.11,4.28,4.43
1,20,6.06,6.16,7.55,12.12,4.29,4.44
1,21,6.05,6.15,7.54,12.12,4.31,4.46
1,22,6.04,6.14,7.53,12.12,4.33,4.48
1,23,6.03,6.13,7.51,12.13,4.34,4.49
1,24,6.02,6.12,7.50,12.13,4.36,4.51
1,25,6.01,6.11,7.49,12.13,4.38,4.53
1,26,6.00,6.10,7.48,12.13,4.40,4.55
1,27,5.59,6.09,7.46,12.13,4.41,4.56
1,28,5.57,6.07,7.45,12.14,4.43,4.58
1,29,5.56,6.06,7.43,12.14,4.45,5.00
1,30,5.55,6.05,7.42,12.14,4.47,5.02
1,31,5.54,6.04,7.41,12.14,4.49,5.04
2,1,5.53,6.03,7.39,12.14,4.50,5.05
2,2,5.51,6.01,7.37,12.14,4.52,5.07
2,3,5.50,6.00,7.36,12.15,4.54,5.09
2,4,5.48,5.58,7.34,12.15,4.56,5.11
2,5,5.47,5.57,7.33,12.15,4.58,5.13
2,6,5.46,5.56,7.31,12.15,5.00,5.15
2,7,5.44,5.54,7.29,12.15,5.01,5.16
2,8,5.42,5.52,7.27,12.15,5.03,5.18
2,9,5.41,5.51,7.26,12.15,5.05,5.20
2,10,5.39,5.49,7.24,12.15,5.07,5.22
2,11,5.38,5.48,7.22,12.15,5.09,5.24
2,12,5.36,5.46,7.20,12.15,5.11,5.26
2,13,5.34,5.44,7.18,12.15,5.12,5.27
2,14,5.33,5.43,7.16,12.15,5.14,5.29
2,15,5.31,5.41,7.15,12.15,5.16,5.31
2,16,5.29,5.39,7.13,12.15,5.18,5.33
2,17,5.27,5.37,7.11,12.15,5.20,5.35
2,18,5.25,5.35,7.09,12.15,5.21,5.36
2,19,5.24,5.34,7.07,12.15,5.23,5.38
2,20,5.22,5.32,7.05,12.14,5.25,5.40
2,21,5.20,5.30,7.03,12.14,5.27,5.42
2,22,5.18,5.28,7.01,12.14,5.29,5.44
2,23,5.16,5.26,6.59,12.14,5.30,5.45
2,24,5.14,5.24,6.56,12.14,5.32,5.47
2,25,5.12,5.22,6.54,12.14,5.34,5.49
2,26,5.10,5.20,6.52,12.14,5.36,5.51
2,27,5.08,5.18,6.50,12.13,5.38,5.53
2,28,5.06,5.16,6.48,12.13,5.39,5.54
2,29,5.04,5.14,6.46,12.13,5.41,5.56
3,1,5.04,5.14,6.46,12.13,5.41,5.56
3,2,5.02,5.12,6.44,12.13,5.43,5.58
3,3,4.59,5.09,6.42,12.13,5.45,6.00
3,4,4.57,5.07,6.39,12.12,5.46,6.01
3,5,4.55,5.05,6.37,12.12,5.48,6.03
3,6,4.53,5.03,6.35,12.12,5.50,6.05
3,7,4.51,5.01,6.33,12.12,5.52,6.07
3,8,4.48,4.58,6.31,12.11,5.53,6.08
3,9,4.46,4.56,6.28,12.11,5.55,6.10
3,10,4.44,4.54,6.26,12.11,5.57,6.12
3,11,4.42,4.52,6.24,12.11,5.58,6.13
3,12,4.39,4.49,6.22,12.10,6.00,6.15
3,13,4.37,4.47,6.19,12.10,6.02,6.17
3,14,4.35,4.45,6.17,12.10,6.04,6.19
3,15,4.32,4.42,6.15,12.10,6.05,6.20
3,16,4.30,4.40,6.12,12.09,6.07,6.22
3,17,4.28,4.38,6.10,12.09,6.09,6.24
3,18,4.25,4.35,6.08,12.09,6.10,6.25
3,19,4.23,4.33,6.06,12.08,6.12,6.27
3,20,4.21,4.31,6.03,12.08,6.14,6.29
3,21,4.18,4.28,6.01,12.08,6.16,6.31
3,22,4.16,4.26,5.59,12.07,6.17,6.32
3,23,4.13,4.23,5.56,12.07,6.19,6.34
3,24,4.11,4.21,5.54,12.07,6.21,6.36
3,25,4.08,4.18,5.52,12.07,6.22,6.37
3,26,4.06,4.16,5.50,12.06,6.24,6.39
3,27,4.04,4.14,5.47,12.06,6.26,6.41
3,28,4.01,4.11,5.45,12.06,6.27,6.42
3,29,4.59,5.09,6.43,13.05,7.29,7.44
3,30,4.56,5.06,6.41,13.05,7.31,7.46
3,31,4.54,5.04,6.38,13.05,7.32,7.47
4,1,4.51,5.01,6.36,13.04,7.34,7.49
4,2,4.49,4.59,6.34,13.04,7.36,7.51
4,3,4.46,4.56,6.31,13.04,7.37,7.52
4,4,4.43,4.53,6.29,13.04,7.39,7.54
4,5,4.41,4.51,6.27,13.03,7.41,7.56
4,6,4.38,4.48,6.25,13.03,7.42,7.57
4,7,4.36,4.46,6.22,13.03,7.44,7.59
4,8,4.33,4.43,6.20,13.02,7.46,8.01
4,9,4.31,4.41,6.18,13.02,7.47,8.02
4,10,4.28,4.38,6.16,13.02,7.49,8.04
4,11,4.26,4.36,6.14,13.02,7.51,8.06
4,12,4.23,4.33,6.11,13.01,7.52,8.07
4,13,4.20,4.30,6.09,13.01,7.54,8.09
4,14,4.18,4.28,6.07,13.01,7.56,8.11
4,15,4.15,4.25,6.05,13.01,7.57,8.12
4,16,4.13,4.23,6.03,13.00,7.59,8.14
4,17,4.10,4.20,6.01,13.00,8.01,8.16
4,18,4.08,4.18,5.58,13.00,8.02,8.17
4,19,4.05,4.15,5.56,13.00,8.04,8.19
4,20,4.03,4.13,5.54,13.00,8.06,8.21
4,21,4.00,4.10,5.52,12.59,8.07,8.22
4,22,3.57,4.07,5.50,12.59,8.09,8.24
4,23,3.55,4.05,5.48,12.59,8.11,8.26
4,24,3.52,4.02,5.46,12.59,8.12,8.27
4,25,3.50,4.00,5.44,12.59,8.14,8.29
4,26,3.47,3.57,5.42,12.59,8.16,8.31
4,27,3.45,3.55,5.40,12.58,8.17,8.32
4,28,3.42,3.52,5.38,12.58,8.19,8.34
4,29,3.40,3.50,5.36,12.58,8.21,8.36
4,30,3.37,3.47,5.34,12.58,8.22,8.37
5,1,3.34,3.44,5.32,12.58,8.24,8.39
5,2,3.32,3.42,5.31,12.58,8.26,8.41
5,3,3.29,3.39,5.29,12.58,8.27,8.42
5,4,3.27,3.37,5.27,12.57,8.29,8.44
5,5,3.25,3.35,5.25,12.57,8.30,8.45
5,6,3.22,3.32,5.23,12.57,8.32,8.47
5,7,3.20,3.30,5.22,12.57,8.34,8.49
5,8,3.17,3.27,5.20,12.57,8.35,8.50
5,9,3.15,3.25,5.18,12.57,8.37,8.52
5,10,3.12,3.22,5.17,12.57,8.38,8.53
5,11,3.10,3.20,5.15,12.57,8.40,8.55
5,12,3.08,3.18,5.13,12.57,8.41,8.56
5,13,3.05,3.15,5.12,12.57,8.43,8.58
5,14,3.03,3.13,5.10,12.57,8.45,9.00
5,15,3.01,3.11,5.09,12.57,8.46,9.01
5,16,2.58,3.08,5.07,12.57,8.48,9.03
5,17,2.56,3.06,5.06,12.57,8.49,9.04
5,18,2.54,3.04,5.04,12.57,8.50,9.05
5,19,2.52,3.02,5.03,12.57,8.52,9.07
5,20,2.49,2.59,5.02,12.57,8.53,9.08
5,21,2.47,2.57,5.00,12.57,8.55,9.10
5,22,2.45,2.55,4.59,12.57,8.56,9.11
5,23,2.43,2.53,4.58,12.57,8.57,9.12
5,24,2.41,2.51,4.57,12.58,8.59,9.14
5,25,2.39,2.49,4.56,12.58,9.00,9.15
5,26,2.37,2.47,4.55,12.58,9.01,9.16
5,27,2.35,2.45,4.54,12.58,9.03,9.18
5,28,2.33,2.43,4.53,12.58,9.04,9.19
5,29,2.31,2.41,4.52,12.58,9.05,9.20
5,30,2.30,2.40,4.51,12.58,9.06,9.21
5,31,2.28,2.38,4.50,12.58,9.07,9.22
6,1,2.26,2.36,4.49,12.59,9.08,9.23
6,2,2.25,2.35,4.48,12.59,9.09,9.24
6,3,2.23,2.33,4.48,12.59,9.10,9.25
6,4,2.22,2.32,4.47,12.59,9.11,9.26
6,5,2.20,2.30,4.46,12.59,9.12,9.27
6,6,2.19,2.29,4.46,12.59,9.13,9.28
6,7,2.18,2.28,4.45,13.00,9.14,9.29
6,8,2.17,2.27,4.45,13.00,9.15,9.30
6,9,2.16,2.26,4.44,13.00,9.16,9.31
6,10,2.15,2.25,4.44,13.00,9.17,9.32
6,11,2.14,2.24,4.44,13.00,9.17,9.32
6,12,2.13,2.23,4.43,13.01,9.18,9.33
6,13,2.12,2.22,4.43,13.01,9.19,9.34
6,14,2.12,2.22,4.43,13.01,9.19,9.34
6,15,2.11,2.21,4.43,13.01,9.20,9.35
6,16,2.11,2.21,4.43,13.01,9.20,9.35
6,17,2.11,2.21,4.43,13.02,9.20,9.35
6,18,2.10,2.20,4.43,13.02,9.21,9.36
6,19,2.10,2.20,4.43,13.02,9.21,9.36
6,20,2.10,2.20,4.43,13.02,9.21,9.36
6,21,2.11,2.21,4.43,13.02,9.22,9.37
6,22,2.11,2.21,4.43,13.03,9.22,9.37
